Technique Rank,Technique Name,Technique Number,Sub-Technique & Number,Atomic Red Team Test,Red Canary Report Details,Reference Reports,Notes
5,Ingress Tool Transfer,T1105,N/A,Atomic Test #7 - certutil download (urlcache)   https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1105/T1105.md#atomic-test-7---certutil-download-urlcache,"The ingress tool transfer section of the report is very well detailed, with reccommended atomics to test. It is highly suggested that this section of the report gets anaylzed for detection tips and understanding this technique.   https://redcanary.com/threat-detection-report/techniques/ingress-tool-transfer/",https://research.splunk.com/stories/ingress_tool_transfer/,
5,Ingress Tool Transfer,T1105,N/A,Atomic Test #10 - Windows - PowerShell Download  https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1105/T1105.md#atomic-test-10---windows---powershell-download ,,,
6,Process Injection,T1055,T1055.001 Dynamic-link Library Injection,Atomic Test #1 - Process Injection via mavinject.exe  https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1055.001/T1055.001.md#atomic-test-1---process-injection-via-mavinjectexe  ,"This technique can get a bit complex. It is highly reccomened to run this on a lab environment first. Read through the author's intent and src materials. The threat report states that its mapping mainly to the parent technique, however, we added a sub test for simplicity. https://redcanary.com/threat-detection-report/techniques/process-injection/    view the subtechniques here: https://attack.mitre.org/techniques/T1055/      ",https://attack.mitre.org/techniques/T1218/013/  |  https://lolbas-project.github.io/lolbas/Binaries/Mavinject/,
7,Scheduled Task/Job,T1053,T1053.005 Scheduled Task,Atomic Test #2 - Scheduled task Local  https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1053.005/T1053.005.md#atomic-test-2---scheduled-task-local,https://redcanary.com/threat-detection-report/techniques/scheduled-task/,,
7,Scheduled Task/Job,T1053,T1053.005 Scheduled Task,Atomic Test #3 - Scheduled task Remote https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1053.005/T1053.005.md#atomic-test-3---scheduled-task-remote ,https://redcanary.com/threat-detection-report/techniques/scheduled-task/,,
7,Scheduled Task/Job,T1053,T1053.005 Scheduled Task,Atomic Test #7 - Scheduled Task Executing Base64 Encoded Commands From Registry  https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1053.005/T1053.005.md#atomic-test-7---scheduled-task-executing-base64-encoded-commands-from-registry,https://redcanary.com/threat-detection-report/techniques/scheduled-task/,https://thedfirreport.com/2022/02/07/qbot-likes-to-move-it-move-it/,Qakbot
8,Obfuscated Files or Information,T1027,N/A,"Atomic Test #3 - Execute base64-encoded PowerShell from Windows Registry  https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1027/T1027.md#atomic-test-3---execute-base64-encoded-powershell-from-windows-registry 
",https://redcanary.com/threat-detection-report/techniques/obfuscated-files-information/,,
8,Obfuscated Files or Information,T1027,N/A,Atomic Test #4 - Execution from Compressed File  https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1027/T1027.md#atomic-test-4---execution-from-compressed-file,https://redcanary.com/threat-detection-report/techniques/obfuscated-files-information/,,
9,Masquerading,T1036,T1036.003 Rename System Utilities,"Atomic Test #1 - Masquerading as Windows LSASS process   
https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1036.003/T1036.003.md#atomic-test-1---masquerading-as-windows-lsass-process",https://redcanary.com/threat-detection-report/techniques/masquerading/,https://attack.mitre.org/techniques/T1036/,
9,Masquerading,T1036,T1036.003 Rename System Utilities,Atomic Test #5 - Masquerading - powershell.exe running as taskhostw.exe  https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1036.003/T1036.003.md#atomic-test-5---masquerading---powershellexe-running-as-taskhostwexe,https://redcanary.com/threat-detection-report/techniques/masquerading/,,
10,Hijack Execution Flow,T1574,"T1574.001  DLL Search Order Hijacking
",Atomic Test #1 - DLL Search Order Hijacking - amsi.dll   https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1574.001/T1574.001.md,https://redcanary.com/threat-detection-report/techniques/hijack-execution-flow/,,
10,Hijack Execution Flow,T1574,T1574.009  Path Interception by Unquoted Path,Atomic Test #1 - Execution of program.exe as service with unquoted service path   https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1574.009/T1574.009.md#atomic-test-1---execution-of-programexe-as-service-with-unquoted-service-path,https://redcanary.com/threat-detection-report/techniques/hijack-execution-flow/,,
